group,name,prompt,requested,count,note
ai_mondrian_1,"MONDRIAN by AI","Abstract geometric composition inspired by Piet Mondrian, balanced grid structure, primary color accents, white space, dynamic rectangular forms, precise lines, modern neoplastic aesthetic, flat 2D painting",4,4,""
ai_mondrian_2,"MONDRIAN by AI","Structured abstract artwork inspired by Piet Mondrian’s visual principles, asymmetrical balance, black linear divisions, red blue yellow color blocks, clean geometric shapes, minimal flat composition",4,4,""
ai_mondrian_3,"MONDRIAN by AI","Original abstract painting with Mondrian-inspired aesthetics, harmonious rectangles and intersecting lines, controlled primary palette, rhythmic spatial arrangement, clear visual hierarchy, 2D geometric design",4,4,""
ai_mondrian_4,"MONDRIAN by AI","Geometric abstract composition inspired by Piet Mondrian, refined balance between vertical and horizontal elements, bold color fields, pure shapes, minimalist structure, analytical modern art style",4,4,""
ai_mondrian_5,"MONDRIAN by AI","Contemporary abstract artwork based on Mondrian’s principles, modular grid system, balanced proportions, primary colors and neutral spaces, sharp geometric forms, simple flat visual structure, no texture"
ai_kandinsky_1,"KANDINSKY by AI","Abstract composition inspired by Wassily Kandinsky, dynamic arrangement of circles, lines and geometric forms, vivid color contrasts, rhythmic balance, expressive 2D modern abstract painting",4,4,""
ai_kandinsky_2,"KANDINSKY by AI","Original abstract artwork inspired by Kandinsky’s visual principles, floating geometric shapes, energetic color relationships, harmonious balance, clear structure, flat 2D composition",8,6,"2 outputs unavailable due to content moderation"
ai_kandinsky_3,"KANDINSKY by AI","Geometric abstract painting inspired by Wassily Kandinsky, layered circles, angular forms and flowing lines, vibrant color harmony, visual rhythm, organized modern art structure",4,4,""
ai_kandinsky_4,"KANDINSKY by AI","Contemporary abstract composition based on Kandinsky-inspired aesthetics, abstract shapes interacting through color and movement, balanced arrangement, strong visual hierarchy, clean flat design",4,4,""
ai_kandinsky_5,"KANDINSKY by AI","Structured abstract artwork inspired by Kandinsky, colorful geometric elements, dynamic spatial relationships, symbolic forms, rhythmic composition, precise 2D modern abstract style",4,4,""
ai_malevich_1,"MALEVICH by AI","Abstract composition inspired by Kazimir Malevich, bold geometric forms, pure color fields, strong spatial tension, minimal structure, flat 2D modern abstract painting",4,4,""
ai_malevich_2,"MALEVICH by AI","Original abstract artwork inspired by Malevich’s visual principles, simple geometric shapes, high contrast colors, balanced asymmetrical arrangement, clear suprematist aesthetic",4,4,""
ai_malevich_3,"MALEVICH by AI","Geometric abstract painting inspired by Kazimir Malevich, floating squares and rectangles, reduced color palette, dynamic balance, precise 2D composition, minimalist modern art",4,4,""
ai_malevich_4,"MALEVICH by AI","Contemporary abstract composition based on Malevich-inspired aesthetics, pure geometric elements, dramatic spatial relationships, controlled colors, clean flat visual structure",4,4,""
ai_malevich_5,"MALEVICH by AI","Structured abstract artwork inspired by Malevich, minimal geometric forms, bold color contrasts, innovative spatial arrangement, simplified shapes, analytical 2D modern abstract style",4,4,""
ai_albers_1,"ALBERS by AI","Abstract composition inspired by Josef Albers, nested geometric squares, subtle color interactions, balanced proportions, precise spatial relationships, flat 2D modern abstract painting",4,4,""
ai_albers_2,"ALBERS by AI","Original abstract artwork inspired by Albers’ visual principles, layered square forms, controlled color harmony, optical balance, minimalist geometric composition, clean flat design",4,4,""
ai_albers_3,"ALBERS by AI","Geometric abstract painting inspired by Josef Albers, repeated rectangular structures, contrasting color fields, systematic arrangement, clear visual hierarchy, modern 2D artwork",4,4,""
ai_albers_4,"ALBERS by AI","Contemporary abstract composition based on Albers-inspired aesthetics, geometric color relationships, precise square formations, balanced symmetry, minimal flat visual structure",4,4,""
ai_albers_5,"ALBERS by AI","Structured abstract artwork inspired by Josef Albers, modular geometric forms, refined color contrast, proportional balance, analytical composition, simple 2D modern abstract style",4,4,""
ai_vasarely_1,"VASARELY by AI","Abstract composition inspired by Victor Vasarely, geometric optical patterns, precise shapes, contrasting colors, visual rhythm, structured flat 2D op art painting",4,4,""
ai_vasarely_2,"VASARELY by AI","Original abstract artwork inspired by Vasarely’s visual principles, geometric grids, optical balance, repeating forms, controlled color contrasts, clear modern 2D composition",4,4,""
ai_vasarely_3,"VASARELY by AI","Geometric abstract painting inspired by Victor Vasarely, systematic patterns, shifting shapes, calculated proportions, dynamic color relationships, precise op art structure",4,4,""
ai_vasarely_4,"VASARELY by AI","Contemporary abstract composition based on Vasarely-inspired aesthetics, modular geometric elements, optical movement, balanced symmetry, clean flat visual design",4,4,""
ai_vasarely_5,"VASARELY by AI","Structured abstract artwork inspired by Victor Vasarely, mathematical geometric forms, rhythmic repetition, bold color contrast, organized spatial arrangement, analytical 2D modern art style",4,4,""
mon,"MONDRIAN","",,13,""
kan,"KANDINSKY","",,15,""
mal,"MALEVICH","",,12,""
alb,"ALBERS","",,,""
vas,"VASARELY","",,,""
rem,"REMBRANDT",,,""
leo,"DA VINCI","",,,""
del,"DELACROIX","",,,""
bru,"BRUEGEL","",,,""
tur,"TURNER","",,,""
cla,"MONET","",,,""
goy,"GOYA","",,,""
seu,"SEURAT","",,,""
vel,"VELÁZQUEZ","",,,""
ver,"VERMEER","",,,""
man,"Manet","",,,""
gog,"VAN GOGH","",,,""
ren,"RENOIR","",,,""
mil,"MILLET","",,,""
mun,"MUNCH","",,,""
